URI,ImageWidth,Type,Priority,Caption,Taxon,Character,State,UseFor,TipStyle
#resources/charlie-bell/saddle.png,100%,image-local,,Schematic image of a harvestman's 'saddle'.,,Saddle,,,left-40
resources/paul-richards/Leiobunum blackwalli 7 female.jpg,100%,image-local,,An example of a harvestman with a distinct saddle - a female <i>Leiobunum blackwalli</i> &copy; Paul Richards.,,Saddle,distinct,,
resources/paul-richards/Opilio parietinus 7.jpg,100%,image-local,,An example of a harvestman with an indistinct saddle. <i>Opilio parietinus</i>  &copy; Paul Richards,,Saddle,indistinct,,
resources/paul-richards/Leiobunum blackwalli 3 male.jpg,100%,image-local,,An example of a harvestman with no discerniable saddle. Male <i>Leiobunum blackwalli</i> &copy; Paul Richards.,,Saddle,no,,
resources/paul-richards/Oligolophus tridens 6.jpg,100%,image-local,,An example of a truncated saddle. <i>Oligolophus tridens</i>  &copy; Paul Richards.,,SaddleTruncated,yes,,
resources/paul-richards/Mitopus morio 14.jpg,100%,image-local,,An example of a saddle that is not truncated. <i>Mitopus morio</i>  &copy; Paul Richards.,,SaddleTruncated,no,,
resources/paul-richards/Leiobunum blackwalli 1 male.jpg,100%,image-local,,Male <i>Leiobunum blackwalli</i> showing very clear pale eye rings. &copy; Paul Richards.,,OculariumEyeRings,yes,,
resources/paul-richards/Leiobunum rotundum 9 juvenile eye.jpg,100%,image-local,,Juvenile <i>Leiobunum rotundum</i> showing the dark eye rings separated by a pale mid-line that is common in this species &copy; Paul Richards.,,OculariumEyeRings,no,,
resources/paul-richards/Trogulus tricarinatus 1.jpg,100%,image-local,,Side shot of <i>Trogulus tricarinatus</i>  showing dorso-ventral (top to bottom) flattening of the body &copy; Paul Richards.,,BodyFlattened,yes,,
resources/paul-richards/Opilio parietinus 14 male.jpg,100%,image-local,,Side shot of <i>Opilio parietinus</i> with the rounded body typical of most harvestman  &copy; Paul Richards.,,BodyFlattened,no,,
resources/paul-richards/Oligolophus tridens 4.jpg,100%,image-local,,<i>Oligolophus tridens</i> showing pinched 'waist' on saddle &copy; Paul Richards.,,SaddleShape,waisted,,
resources/paul-richards/Mitopus morio 1.jpg,100%,image-local,,<i>Mitopus morio</i> var <i>morio</i> showing a double-pinched 'waist' of saddle  &copy; Paul Richards.,,SaddleShape,double-waisted,,
resources/paul-richards/Odiellus spinosus 1.jpg,100%,image-local,,The more or less straight-sided saddle of <i>Odiellus spinosus</i>  &copy; Paul Richards.,,SaddleShape,straight-sided,,
resources/paul-richards/Leiobunum blackwalli 7 female.jpg,100%,image-local,,The distinctly triangular-shaped saddle of a female <i>Leiobunum blackwalli</i> &copy; Paul Richards.,,SaddleShape,triangular,,
resources/paul-richards/Homalenotus quadridentatus 5.jpg,100%,image-local,,The saddle of <i>Homalenotus quadridentatus</i> is composed of dark spots &copy; Paul Richards.,,SaddleShape,paired dark spots,,
resources/paul-richards/Opilio saxatilis 7 female.jpg,100%,image-local,,Female <i>Opilio saxatilis</i> showing a central longitudinal pale stripe up the saddle &copy; Paul Richards.,,CentralStripe,yes,,
resources/burkmar/swollen-tubercles.jpg,100%,image-local,,Dorsal tubercles with swollen ends belonging to <i>Mitostoma chrysomelas</i> (left) and <i>Nemastomella bacillifera</i> (right) &copy; Richard Burkmar.,,DorsalTubecleEndsSwollen,,,
#resources/paul-richards/Paroligolophus meadii 4 male.jpg,100%,image-local,,The very consipicuous white tubercles on the body of a male <i>Paroligolophus meadii</i>  &copy; Paul Richards.,,DorsalArmature,,,
resources/paul-richards/Odiellus spinosus 9 female trident ocularium.jpg,100%,image-local,,The exceptionally robust trident of a female <i>Odiellus spinosus</i>  &copy; Paul Richards.,,HeadProjections,conspicuous trident,,
resources/paul-richards/Oligolophus hanseni 10 trident.jpg,100%,image-local,,The trident of <i>Oligolophus hanseni</i> is relatively inconspicuous to the naked eye (though it is usually very obvious under a hand lens).,,HeadProjections,inconspicuous trident,,
resources/paul-richards/Opilio parietinus 16 front armature.jpg,100%,image-local,,These tubercles at the leading edge of the cepahlothorax in <i>Opilio parietinus</i> can't be described as a trident because there are no tubercles on the mid-line.,,HeadProjections,small tubercles,,
resources/paul-richards/Homalenotus quadridentatus 6 male.jpg,100%,image-local,,"<i>Homalenotus quadridentatus</i> has a single large, forward projecting spine at the front of the cephalothorax.",,HeadProjections,single large spine,,
resources/paul-richards/Trogulus tricarinatus 4.jpg,100%,image-local,,Two UK harvestmen (e.g. this <i>Trogulus tricarinatus</i>) have a 'hood' projecting from the front of the cephalothorax which covers the mouthparts.,,HeadProjections,hood,,
resources/paul-richards/Nelima gothica 9 male.jpg,100%,image-local,,"Many species of UK harvestman, e.g. this <i>Nelima gothica</i> don't have any type of projection at the front of the cephalothorax (though there might be some small tubercles around and about).",,HeadProjections,none,,
resources/burkmar/trident-orientation.jpg,100%,image-local,,Examples of trident orientations. From left to right: <b>near vertical</b> (drawing is <i>Paroligolophus agrestis</i>); <b>inclined forward</b> (drawing is <i>Lophopilio palpinalis</i>); <b>near horizontal</b> (drawing is <i>Odiellus spinosus</i>)  &copy; Richard Burkmar.,,TridentOrientation,,,
resources/burkmar/trident-middle-member-size.jpg,100%,image-local,,Examples of trident middle member relative lengths. From left to right: <b>equal</b> (drawing is <i>Odiellus spinosus</i>); <b>central slightly longer</b> (drawing is <i>Paroligolophus agrestis</i>); <b>central much longer</b> (drawing is <i>Lophopilio palpinalis</i>)  &copy; Richard Burkmar.,,TridentMemberLength,,,
resources/paul-richards/Odiellus spinosus 7 female ocularium.jpg,100%,image-local,,A harvestman with an ocularium (<i>Odiellus spinosus</i>).,,OculariumPresence,present,,
resources/paul-richards/Trogulus tricarinatus 10.jpg,100%,image-local,,A harvestman without an ocularium ( <i>Trogulus tricarinatus</i>).,,OculariumPresence,absent,,
resources/paul-richards/Anelasmocephalus cambridgei 16.jpg,100%,image-local,,"A harvestman without an ocularium ( <i>Anelasmocephalus cambridgei</i>). Note that the head <i>is</i> raised in the region of the eyes here, but it is not a distinct ocularium.",,OculariumPresence,absent,,
resources/paul-richards/Megabunus diadema 12.jpg,100%,image-local,,The exceptionally long ocularium spines of <i>Megabunus diadema</i>  &copy; Paul Richards.,,OculariumArmatureType,spines,,
resources/paul-richards/Platybunus triangularis 11 ocularium.jpg,100%,image-local,,Tubercles on the ocularium of  <i>Playtybunus triangularis</i>  &copy; Paul Richards.,,OculariumArmatureType,tubercles,,
resources/paul-richards/Oligolophus hanseni 6 trident.jpg,100%,image-local,,The occularium of <i>Oligolophus hanseni</i> shows two distinct rows of tubercles - one around each eye &copy; Paul Richards.,,OculariumArmatureArrangement,two rows,,
,,,,,,,,,
resources/paul-richards/Dicranopalpus ramosus 2 claw.jpg,100%,image-local,,Detail of a pectinate (toothed) palpal claw of <i>Dicranopalpus ramosus</i> &copy; Paul Richards.,,PalpClaw,toothed,,
resources/paul-richards/Mitostoma chrysomelas 4 female.jpg,100%,image-local,,The palpal tarsus of this <i>Mitostoma chrysomelas</i>  is shorter than the exceptionally long palpal tibia &copy; Paul Richards.,,PalpTarsusLength,shorter,,
resources/paul-richards/Nelima gothica 7.jpg,100%,image-local,,The palpal tarsus of this <i>Nelima gothica</i> is longer than the palpal tibia.,,PalpTarsusLength,longer,,
resources/paul-richards/Dicranopalpus ramosus 5.jpg,100%,image-local,,The slender apophysis on the palpal patellas gives a distinctive 'tuning-fork' appearance to the palps of <i>Dicranopalpus ramosus</i> &copy; Paul Richards.,,PalpPatellaApophysis,large,,
resources/paul-richards/Platybunus triangularis 5.jpg,100%,image-local,,This dorsal view of a female <i>Platybunus triangularis</i> clearly shows the chunky apophyses of the palpal patellas &copy; Paul Richards.,,PalpPatellaApophysis,moderate,,
resources/paul-richards/Platybunus pinetorum 6 femur tubercles.jpg,100%,image-local,,The exceptionally robust and distinctive femur tubercles of <i>Platybunus pinetorum</i>  &copy; Paul Richards.,,PalpVentralFemurTubercles,very large,,
resources/paul-richards/Lophopilio palpinalis 16.jpg,100%,image-local,,The large femur tubercles of <i>Lophopilio palpinalis</i> are characteristic  &copy; Paul Richards.,,PalpVentralFemurTubercles,large,,
resources/paul-richards/Mitostoma chrysomelas 7 palps.jpg,100%,image-local,,The palps of <i>Mitostoma chrysomelas</i> covered in 'knobbed hairs'.,,PalpKnobbedHairs,,full,
resources/paul-richards/Leiobunum blackwalli 9 female lamellae.jpg,100%,image-local,,Detail of blunt projections of supra-cheliceral lamellae (circled) of <i>Leiobunum rotundum</i>  (female) &copy; Paul Richards.,,SupraCheliceralProjections,pair of blunt projections,,
resources/paul-richards/Phalangium opilio 2 female supra-cheliceral projections.jpg,100%,image-local,,Detail of projections on supra-cheliceral lamellae (circled) of <i>Phalangium opilio</i>  (female) &copy; Paul Richards.,,SupraCheliceralProjections,two small pointed tubercles,,
resources/paul-richards/Phalangium opilio 9 male.jpg,100%,image-local,,The consipicuously large cheliceral spurs on male <i>Phalangium opilio</i>  &copy; Paul Richards.,,CheliceraProjections,huge projection on distal segment,,
resources/paul-richards/Nemastoma bimaculatum 2.jpg,100%,image-local,,The relatively short legs of <i>Nemastoma bimaculatum</i>  &copy; Paul Richards.,,LegsRelativeLength,short,,
resources/paul-richards/Paroligolophus agrestis 9.jpg,100%,image-local,,The medium-length legs of <i>Paroligolophus agrestis</i>  &copy; Paul Richards.,,LegsRelativeLength,medium,,
resources/paul-richards/Platybunus triangularis 1 male.jpg,100%,image-local,,Long legs of a male <i>Platybunus triangularis</i>  &copy; Paul Richards.,,LegsRelativeLength,long,,
resources/paul-richards/Leiobunum rotundum 6.jpg,100%,image-local,,The conspicuous very long legs of <i>Leiobunum rotundum</i>  &copy; Paul Richards.,,LegsRelativeLength,very long,,
resources/paul-richards/Paroligolophus agrestis 15 femurs.jpg,100%,image-local,,Femur armature of <i>Paroligolophus agrestis</i>  &copy; Paul Richards.,,LegsFemurArmature,weak,,
resources/paul-richards/Nelima gothica 10 femurs.jpg,100%,image-local,,Femur armature of <i>Mitopus morio</i>  &copy; Paul Richards.,,LegsFemurArmature,moderate,,
resources/paul-richards/Phalangium opilio 12 male femurs.jpg,100%,image-local,,Femur armature of <i>Phalangium opilio</i>  &copy; Paul Richards.,,LegsFemurArmature,strong,,
resources/paul-richards/Lacinius ephippiatus 3.jpg,100%,image-local,,The angular nature of the leg segments of <i>Lacinius ephippiatus</i> is clearly discernible in this photo &copy; Paul Richards.,,LegsFemurSection,,,
resources/paul-richards/Lacinius ephippiatus 3.jpg,100%,image-local,,The angular nature of the leg segments of <i>Lacinius ephippiatus</i> is clearly discernible in this photo &copy; Paul Richards.,,LegsPatellaSection,,,
resources/paul-richards/Paroligolophus agrestis 14 female coxae spots.jpg,100%,image-local,,Feint brown spots are present on the distal ends of the coxae of this female <i>Paroligolophus agrestis</i> &copy; Paul Richards.,,LegsCoxaMarkings,single brown spot,,
resources/paul-richards/Opilio saxatilis 8 male coxae.jpg,100%,image-local,,Irregular brown markings over the coxae of this male <i>Opilio saxatilis</i> &copy; Paul Richards.,,LegsCoxaMarkings,irregular brown spots,,
,,,,,,,,,
resources/paul-richards/Leiobunum sp A 1.jpg,100%,image-local,5,<i>Leiobunum sp. A</i>  &copy; Paul Richards.,Leiobunum sp. A,,,,
resources/paul-richards/Leiobunum sp A 2.jpg,100%,image-local,1.5,<i>Leiobunum sp. A</i>  &copy; Paul Richards.,Leiobunum sp. A,,,,
resources/paul-richards/Leiobunum sp A 3 female.jpg,100%,image-local,4,Female <i>Leiobunum sp. A</i>  &copy; Paul Richards.,Leiobunum sp. A,,,,
resources/paul-richards/Leiobunum sp A 4.jpg,100%,image-local,6,<i>Leiobunum sp. A</i>  &copy; Paul Richards.,Leiobunum sp. A,,,,
resources/paul-richards/Leiobunum sp A 5 female.jpg,100%,image-local,2,Female <i>Leiobunum sp. A</i>  &copy; Paul Richards.,Leiobunum sp. A,,,,
resources/paul-richards/Leiobunum sp A 6 female.jpg,100%,image-local,3,Female <i>Leiobunum sp. A</i>  &copy; Paul Richards.,Leiobunum sp. A,,,,
resources/paul-richards/Leiobunum sp A 7.jpg,100%,image-local,7,<i>Leiobunum sp. A</i>  &copy; Paul Richards.,Leiobunum sp. A,,,,
resources/paul-richards/Leiobunum sp A 8 aggregation.jpg,100%,image-local,8,Aggregation of <i>Leiobunum sp. A</i>  &copy; Paul Richards.,Leiobunum sp. A,,,,
resources/paul-richards/Leiobunum sp A 9 aggregation.jpg,100%,image-local,1.5,Aggregation of <i>Leiobunum sp. A</i>  &copy; Paul Richards.,Leiobunum sp. A,,,,
resources/paul-richards/Leiobunum sp A 10 aggregation.jpg,100%,image-local,10,Aggregation of <i>Leiobunum sp. A</i>  &copy; Paul Richards.,Leiobunum sp. A,,,,
resources/paul-richards/Leiobunum sp A 11 aggregation.jpg,100%,image-local,11,Aggregation of <i>Leiobunum sp. A</i>  &copy; Paul Richards.,Leiobunum sp. A,,,,
resources/paul-richards/Leiobunum sp A 12.jpg,100%,image-local,1,Male <i>Leiobunum sp. A</i>  &copy; Paul Richards.,Leiobunum sp. A,,,,
resources/paul-richards/Opilio parietinus 1.jpg,100%,image-local,3,<i>Opilio parietinus</i>  &copy; Paul Richards.,Opilio parietinus,,,,
resources/paul-richards/Opilio parietinus 2 female.jpg,100%,image-local,2,Female <i>Opilio parietinus</i>  &copy; Paul Richards.,Opilio parietinus,,,,
resources/paul-richards/Opilio parietinus 3 female.jpg,100%,image-local,7,Female <i>Opilio parietinus</i>  &copy; Paul Richards.,Opilio parietinus,,,,
resources/paul-richards/Opilio parietinus 10 male front.jpg,100%,image-local,11,Male <i>Opilio parietinus</i>  &copy; Paul Richards.,Opilio parietinus,,,,
resources/paul-richards/Opilio parietinus 11 ocularium.jpg,100%,image-local,12,Occularium of <i>Opilio parietinus</i>  &copy; Paul Richards.,Opilio parietinus,,,,
resources/paul-richards/Opilio parietinus 12 ocularium.jpg,100%,image-local,13,Occularium of <i>Opilio parietinus</i>  &copy; Paul Richards.,Opilio parietinus,,,,
resources/paul-richards/Opilio parietinus 13 ocularium.jpg,100%,image-local,14,Occularium of <i>Opilio parietinus</i>  &copy; Paul Richards.,Opilio parietinus,,,,
resources/paul-richards/Opilio parietinus 14 male.jpg,100%,image-local,4,Male <i>Opilio parietinus</i>  &copy; Paul Richards.,Opilio parietinus,,,,
resources/paul-richards/Opilio parietinus 15.jpg,100%,image-local,5,<i>Opilio parietinus</i>  &copy; Paul Richards.,Opilio parietinus,,,,
resources/paul-richards/Opilio parietinus 4.jpg,100%,image-local,6,<i>Opilio parietinus</i>  &copy; Paul Richards.,Opilio parietinus,,,,
resources/paul-richards/Opilio parietinus 5.jpg,100%,image-local,1,<i>Opilio parietinus</i>  &copy; Paul Richards.,Opilio parietinus,,,,
resources/paul-richards/Opilio parietinus 6.jpg,100%,image-local,8,<i>Opilio parietinus</i>  &copy; Paul Richards.,Opilio parietinus,,,,
resources/paul-richards/Opilio parietinus 7.jpg,100%,image-local,9,<i>Opilio parietinus</i>  &copy; Paul Richards.,Opilio parietinus,,,,
resources/paul-richards/Opilio parietinus 9.jpg,100%,image-local,10,<i>Opilio parietinus</i>  &copy; Paul Richards.,Opilio parietinus,,,,
resources/paul-richards/Platybunus pinetorum 1.jpg,100%,image-local,104,Immature <i>Platybunus pinetorum</i>  &copy; Paul Richards.,Platybunus pinetorum,,,,
resources/paul-richards/Platybunus pinetorum 2 female.jpg,100%,image-local,2,Female <i>Platybunus pinetorum</i>  &copy; Paul Richards.,Platybunus pinetorum,,,,
resources/paul-richards/Platybunus pinetorum 3 female.jpg,100%,image-local,1,Female <i>Platybunus pinetorum</i>  &copy; Paul Richards.,Platybunus pinetorum,,,,
resources/paul-richards/Platybunus pinetorum 4 immature.jpg,100%,image-local,103,Immature <i>Platybunus pinetorum</i>  &copy; Paul Richards.,Platybunus pinetorum,,,,
resources/paul-richards/Platybunus pinetorum 5.jpg,100%,image-local,3,<i>Platybunus pinetorum</i>  &copy; Paul Richards.,Platybunus pinetorum,,,,
resources/paul-richards/Platybunus pinetorum 6 femur tubercles.jpg,100%,image-local,102,Femur tubercles of <i>Platybunus pinetorum</i>  &copy; Paul Richards.,Platybunus pinetorum,,,,
resources/paul-richards/Platybunus pinetorum 7.jpg,100%,image-local,5,<i>Platybunus pinetorum</i>  &copy; Paul Richards.,Platybunus pinetorum,,,,
resources/paul-richards/Platybunus pinetorum 8.jpg,100%,image-local,6,<i>Platybunus pinetorum</i>  &copy; Paul Richards.,Platybunus pinetorum,,,,
resources/paul-richards/Platybunus pinetorum 9.jpg,100%,image-local,7,<i>Platybunus pinetorum</i>  &copy; Paul Richards.,Platybunus pinetorum,,,,
resources/paul-richards/Platybunus pinetorum 10 ventral.jpg,100%,image-local,105,Ventral view of <i>Platybunus pinetorum</i>  &copy; Paul Richards.,Platybunus pinetorum,,,,
resources/paul-richards/Platybunus pinetorum 11.jpg,100%,image-local,8,<i>Platybunus pinetorum</i>  &copy; Paul Richards.,Platybunus pinetorum,,,,
resources/paul-richards/Platybunus pinetorum 12.jpg,100%,image-local,9,<i>Platybunus pinetorum</i>  &copy; Paul Richards.,Platybunus pinetorum,,,,
resources/paul-richards/Platybunus pinetorum 15.jpg,100%,image-local,12,<i>Platybunus pinetorum</i>  &copy; Paul Richards.,Platybunus pinetorum,,,,
resources/paul-richards/Platybunus pinetorum 16.jpg,100%,image-local,13,<i>Platybunus pinetorum</i>  &copy; Paul Richards.,Platybunus pinetorum,,,,
resources/paul-richards/Platybunus pinetorum 17.jpg,100%,image-local,14,<i>Platybunus pinetorum</i>  &copy; Paul Richards.,Platybunus pinetorum,,,,
resources/paul-richards/Platybunus pinetorum 18.jpg,100%,image-local,15,<i>Platybunus pinetorum</i>  &copy; Paul Richards.,Platybunus pinetorum,,,,
resources/paul-richards/Platybunus pinetorum 19 femur tubercles.jpg,100%,image-local,101,Femur tubercles of <i>Platybunus pinetorum</i>  &copy; Paul Richards.,Platybunus pinetorum,,,,
resources/paul-richards/Sabacon viscayanum ramblaianum 1.jpg,100%,image-local,2,<i>Sabacon viscayanum ramblaianum</i>  &copy; Paul Richards.,Sabacon viscayanum ramblaianum,,,,
resources/paul-richards/Sabacon viscayanum ramblaianum 2.jpg,100%,image-local,1,<i>Sabacon viscayanum ramblaianum</i>  &copy; Paul Richards.,Sabacon viscayanum ramblaianum,,,,
resources/paul-richards/Sabacon viscayanum ramblaianum 3.jpg,100%,image-local,3,<i>Sabacon viscayanum ramblaianum</i>  &copy; Paul Richards.,Sabacon viscayanum ramblaianum,,,,
resources/paul-richards/Sabacon viscayanum ramblaianum 4.jpg,100%,image-local,4,<i>Sabacon viscayanum ramblaianum</i>  &copy; Paul Richards.,Sabacon viscayanum ramblaianum,,,,
resources/paul-richards/Sabacon viscayanum ramblaianum 5 immature.jpg,100%,image-local,5,Immature <i>Sabacon viscayanum ramblaianum</i>  &copy; Paul Richards.,Sabacon viscayanum ramblaianum,,,,
resources/paul-richards/Trogulus tricarinatus 1.jpg,100%,image-local,1,<i>Trogulus tricarinatus</i>  &copy; Paul Richards.,Trogulus tricarinatus,,,,
resources/paul-richards/Trogulus tricarinatus 10.jpg,100%,image-local,5,<i>Trogulus tricarinatus</i>  &copy; Paul Richards.,Trogulus tricarinatus,,,,
resources/paul-richards/Trogulus tricarinatus 2.jpg,100%,image-local,7,<i>Trogulus tricarinatus</i>  &copy; Paul Richards.,Trogulus tricarinatus,,,,
resources/paul-richards/Trogulus tricarinatus 3.jpg,100%,image-local,9,Ventral view of <i>Trogulus tricarinatus</i>  &copy; Paul Richards.,Trogulus tricarinatus,,,,
resources/paul-richards/Trogulus tricarinatus 4.jpg,100%,image-local,6,<i>Trogulus tricarinatus</i>  &copy; Paul Richards.,Trogulus tricarinatus,,,,
resources/paul-richards/Trogulus tricarinatus 5.jpg,100%,image-local,2,<i>Trogulus tricarinatus</i>  &copy; Paul Richards.,Trogulus tricarinatus,,,,
resources/paul-richards/Trogulus tricarinatus 6.jpg,100%,image-local,3,<i>Trogulus tricarinatus</i>  &copy; Paul Richards.,Trogulus tricarinatus,,,,
resources/paul-richards/Trogulus tricarinatus 7 leg detail.jpg,100%,image-local,10,Leg of  <i>Trogulus tricarinatus</i>  &copy; Paul Richards.,Trogulus tricarinatus,,,,
resources/paul-richards/Trogulus tricarinatus 8 head detail.jpg,100%,image-local,8,Head of <i>Trogulus tricarinatus</i>  &copy; Paul Richards.,Trogulus tricarinatus,,,,
resources/paul-richards/Trogulus tricarinatus 9.jpg,100%,image-local,4,<i>Trogulus tricarinatus</i>  &copy; Paul Richards.,Trogulus tricarinatus,,,,
resources/paul-richards/Platybunus triangularis 1 male.jpg,100%,image-local,4,Male <i>Platybunus triangularis</i>  &copy; Paul Richards.,Platybunus triangularis,,,,
resources/paul-richards/Platybunus triangularis 2 immature ocularium.jpg,100%,image-local,8,Ocularium of an immature <i>Platybunus triangularis</i>  &copy; Paul Richards.,Platybunus triangularis,,,,
resources/paul-richards/Platybunus triangularis 3 ventral.jpg,100%,image-local,9,Ventral view of <i>Platybunus triangularis</i>  &copy; Paul Richards.,Platybunus triangularis,,,,
resources/paul-richards/Platybunus triangularis 4.jpg,100%,image-local,1,Female <i>Platybunus triangularis</i>  &copy; Paul Richards.,Platybunus triangularis,,,,
resources/paul-richards/Platybunus triangularis 5.jpg,100%,image-local,5,Female <i>Platybunus triangularis</i>  &copy; Paul Richards.,Platybunus triangularis,,,,
resources/paul-richards/Platybunus triangularis 6 ocularium.jpg,100%,image-local,6,Ocularium of <i>Platybunus triangularis</i>  &copy; Paul Richards.,Platybunus triangularis,,,,
resources/paul-richards/Platybunus triangularis 7.jpg,100%,image-local,2,Male <i>Platybunus triangularis</i>  &copy; Paul Richards.,Platybunus triangularis,,,,
