URI,ImageWidth,Type,Priority,Caption,Taxon,Character,State,UseFor,TipStyle
resources/paul-richards/Mitopus morio ericaeus 1 male tick.jpg,100%,image-local,1,Male <i>Mitopus morio</i> var <i>ericaeus</i>  with ticks &copy; Paul Richards.,Mitopus morio var ericaeus,,,,
resources/paul-richards/Megabunus diadema 1 male.jpg,100%,image-local,2,Male <i>Megabunus diadema</i>  &copy; Paul Richards.,Megabunus diadema,,,,
resources/paul-richards/Megabunus diadema 10.jpg,100%,image-local,9,<i>Megabunus diadema</i>  &copy; Paul Richards.,Megabunus diadema,,,,
resources/paul-richards/Megabunus diadema 11.jpg,100%,image-local,1,<i>Megabunus diadema</i>  &copy; Paul Richards.,Megabunus diadema,,,,
resources/paul-richards/Megabunus diadema 12.jpg,100%,image-local,4,<i>Megabunus diadema</i>  &copy; Paul Richards.,Megabunus diadema,,,,
resources/paul-richards/Megabunus diadema 13.jpg,100%,image-local,5,<i>Megabunus diadema</i>  &copy; Paul Richards.,Megabunus diadema,,,,
resources/paul-richards/Megabunus diadema 2.jpg,100%,image-local,6,<i>Megabunus diadema</i>  &copy; Paul Richards.,Megabunus diadema,,,,
resources/paul-richards/Megabunus diadema 3.jpg,100%,image-local,7,<i>Megabunus diadema</i>  &copy; Paul Richards.,Megabunus diadema,,,,
resources/paul-richards/Megabunus diadema 4.jpg,100%,image-local,8,<i>Megabunus diadema</i>  &copy; Paul Richards.,Megabunus diadema,,,,
resources/paul-richards/Megabunus diadema 5.jpg,100%,image-local,3,<i>Megabunus diadema</i>  &copy; Paul Richards.,Megabunus diadema,,,,
resources/paul-richards/Megabunus diadema 6.jpg,100%,image-local,10,<i>Megabunus diadema</i>  &copy; Paul Richards.,Megabunus diadema,,,,
resources/paul-richards/Megabunus diadema 7.jpg,100%,image-local,11,<i>Megabunus diadema</i>  &copy; Paul Richards.,Megabunus diadema,,,,
resources/paul-richards/Megabunus diadema 8.jpg,100%,image-local,12,<i>Megabunus diadema</i>  &copy; Paul Richards.,Megabunus diadema,,,,
resources/paul-richards/Megabunus diadema 9.jpg,100%,image-local,13,<i>Megabunus diadema</i>  &copy; Paul Richards.,Megabunus diadema,,,,
resources/paul-richards/Lophopilio palpinalis 1.jpg,100%,image-local,5.1,<i>Lophopilio palpinalis</i>  &copy; Paul Richards.,Lophopilio palpinalis,,,,
resources/paul-richards/Lophopilio palpinalis 10.jpg,100%,image-local,5.2,<i>Lophopilio palpinalis</i>  &copy; Paul Richards.,Lophopilio palpinalis,,,,
resources/paul-richards/Lophopilio palpinalis 11.jpg,100%,image-local,5.3,<i>Lophopilio palpinalis</i>  &copy; Paul Richards.,Lophopilio palpinalis,,,,
resources/paul-richards/Lophopilio palpinalis 12 male.jpg,100%,image-local,5.4,Male <i>Lophopilio palpinalis</i>  &copy; Paul Richards.,Lophopilio palpinalis,,,,
resources/paul-richards/Lophopilio palpinalis 13.jpg,100%,image-local,5.5,<i>Lophopilio palpinalis</i>  &copy; Paul Richards.,Lophopilio palpinalis,,,,
resources/paul-richards/Lophopilio palpinalis 14.jpg,100%,image-local,6,<i>Lophopilio palpinalis</i>  &copy; Paul Richards.,Lophopilio palpinalis,,,,
resources/paul-richards/Lophopilio palpinalis 2.jpg,100%,image-local,7,<i>Lophopilio palpinalis</i>  &copy; Paul Richards.,Lophopilio palpinalis,,,,
resources/paul-richards/Lophopilio palpinalis 3.jpg,100%,image-local,8,<i>Lophopilio palpinalis</i>  &copy; Paul Richards.,Lophopilio palpinalis,,,,
resources/paul-richards/Lophopilio palpinalis 4.jpg,100%,image-local,9,<i>Lophopilio palpinalis</i>  &copy; Paul Richards.,Lophopilio palpinalis,,,,
resources/paul-richards/Lophopilio palpinalis 5 female.jpg,100%,image-local,10,Female <i>Lophopilio palpinalis</i>  &copy; Paul Richards.,Lophopilio palpinalis,,,,
resources/paul-richards/Lophopilio palpinalis 6 male.jpg,100%,image-local,11,Male <i>Lophopilio palpinalis</i>  &copy; Paul Richards.,Lophopilio palpinalis,,,,
resources/paul-richards/Lophopilio palpinalis 7.jpg,100%,image-local,12,<i>Lophopilio palpinalis</i>  &copy; Paul Richards.,Lophopilio palpinalis,,,,
resources/paul-richards/Lophopilio palpinalis 8 female.jpg,100%,image-local,13,Female <i>Lophopilio palpinalis</i>  &copy; Paul Richards.,Lophopilio palpinalis,,,,
resources/paul-richards/Lophopilio palpinalis 9.jpg,100%,image-local,14,<i>Lophopilio palpinalis</i>  &copy; Paul Richards.,Lophopilio palpinalis,,,,
resources/paul-richards/Lophopilio palpinalis 15.jpg,100%,image-local,1,<i>Lophopilio palpinalis</i>  &copy; Paul Richards.,Lophopilio palpinalis,,,,
resources/paul-richards/Lophopilio palpinalis 16.jpg,100%,image-local,2,<i>Lophopilio palpinalis</i>  &copy; Paul Richards.,Lophopilio palpinalis,,,,
resources/paul-richards/Lophopilio palpinalis 17.jpg,100%,image-local,3,<i>Lophopilio palpinalis</i>  &copy; Paul Richards.,Lophopilio palpinalis,,,,
resources/paul-richards/Lophopilio palpinalis 18.jpg,100%,image-local,4,<i>Lophopilio palpinalis</i>  &copy; Paul Richards.,Lophopilio palpinalis,,,,
resources/paul-richards/Leiobunum tisciae 1 male.jpg,100%,image-local,1,Male <i>Leiobunum tisciae</i>  &copy; Paul Richards.,Leiobunum tisciae,,,,
resources/paul-richards/Leiobunum tisciae 2 female.jpg,100%,image-local,2,Female <i>Leiobunum tisciae</i>  &copy; Paul Richards.,Leiobunum tisciae,,,,
resources/paul-richards/Leiobunum tisciae 3 male.jpg,100%,image-local,3,Male <i>Leiobunum tisciae</i>  &copy; Paul Richards.,Leiobunum tisciae,,,,
resources/paul-richards/Leiobunum tisciae 4 female.jpg,100%,image-local,4,Female <i>Leiobunum tisciae</i>  &copy; Paul Richards.,Leiobunum tisciae,,,,
resources/paul-richards/Leiobunum tisciae 5 male and female.jpg,100%,image-local,5,Male and female <i>Leiobunum tisciae</i>  &copy; Paul Richards.,Leiobunum tisciae,,,,
resources/paul-richards/Leiobunum tisciae 6 female.jpg,100%,image-local,6,Female <i>Leiobunum tisciae</i>  &copy; Paul Richards.,Leiobunum tisciae,,,,
resources/paul-richards/Leiobunum tisciae 7 female.jpg,100%,image-local,7,Female <i>Leiobunum tisciae</i>  &copy; Paul Richards.,Leiobunum tisciae,,,,
resources/paul-richards/Leiobunum tisciae 8 male.jpg,100%,image-local,8,Male <i>Leiobunum tisciae</i>  &copy; Paul Richards.,Leiobunum tisciae,,,,
resources/paul-richards/Leiobunum rotundum 1 immature.jpg,100%,image-local,8,Immature<i>Leiobunum rotundum</i>  &copy; Paul Richards.,Leiobunum rotundum,,,,
resources/paul-richards/Leiobunum rotundum 2 female.jpg,100%,image-local,3,Female <i>Leiobunum rotundum</i>  &copy; Paul Richards.,Leiobunum rotundum,,,,
resources/paul-richards/Leiobunum rotundum 3 female.jpg,100%,image-local,4,Female <i>Leiobunum rotundum</i>  &copy; Paul Richards.,Leiobunum rotundum,,,,
resources/paul-richards/Leiobunum rotundum 4.jpg,100%,image-local,5,<i>Leiobunum rotundum</i>  &copy; Paul Richards.,Leiobunum rotundum,,,,
resources/paul-richards/Leiobunum rotundum 5 female.jpg,100%,image-local,2,Female <i>Leiobunum rotundum</i>  &copy; Paul Richards.,Leiobunum rotundum,,,,
resources/paul-richards/Leiobunum rotundum 6.jpg,100%,image-local,6,<i>Leiobunum rotundum</i>  &copy; Paul Richards.,Leiobunum rotundum,,,,
resources/paul-richards/Leiobunum rotundum 7 male.jpg,100%,image-local,1,Male <i>Leiobunum rotundum</i>  &copy; Paul Richards.,Leiobunum rotundum,,,,
resources/paul-richards/Leiobunum rotundum 8.jpg,100%,image-local,7,<i>Leiobunum rotundum</i>  &copy; Paul Richards.,Leiobunum rotundum,,,,
resources/paul-richards/Lacinius ephippiatus 1 female.jpg,100%,image-local,1,Female <i>Lacinius ephippiatus</i>  &copy; Paul Richards.,Lacinius ephippiatus,,,,
resources/paul-richards/Lacinius ephippiatus 2.jpg,100%,image-local,2,<i>Lacinius ephippiatus</i>  &copy; Paul Richards.,Lacinius ephippiatus,,,,
resources/paul-richards/Lacinius ephippiatus 3.jpg,100%,image-local,3,<i>Lacinius ephippiatus</i>  &copy; Paul Richards.,Lacinius ephippiatus,,,,
resources/paul-richards/Lacinius ephippiatus 4.jpg,100%,image-local,4,<i>Lacinius ephippiatus</i>  &copy; Paul Richards.,Lacinius ephippiatus,,,,
resources/paul-richards/Lacinius ephippiatus 5.jpg,100%,image-local,5,<i>Lacinius ephippiatus</i>  &copy; Paul Richards.,Lacinius ephippiatus,,,,
resources/paul-richards/Lacinius ephippiatus 6.jpg,100%,image-local,6,<i>Lacinius ephippiatus</i>  &copy; Paul Richards.,Lacinius ephippiatus,,,,
resources/paul-richards/Dicranopalpus ramosus 11 penis.jpg,100%,image-local,203,Penis of <i>Dicranopalpus ramosus</i> &copy; Paul Richards.,Dicranopalpus ramosus,,,,
resources/paul-richards/Dicranopalpus ramosus 12 penis.jpg,100%,image-local,204,Penis of <i>Dicranopalpus ramosus</i> &copy; Paul Richards.,Dicranopalpus ramosus,,,,
resources/paul-richards/Dicranopalpus ramosus 1 claw.jpg,100%,image-local,101,Pectinate (toothed) palpal claw of <i>Dicranopalpus ramosus</i> &copy; Paul Richards.,Dicranopalpus ramosus,,,,
resources/paul-richards/Dicranopalpus ramosus 10 female.jpg,100%,image-local,2,Female <i>Dicranopalpus ramosus</i> &copy; Paul Richards.,Dicranopalpus ramosus,,,,
resources/paul-richards/Dicranopalpus ramosus 2 claw.jpg,100%,image-local,102,Detail of a pectinate (toothed) palpal claw of <i>Dicranopalpus ramosus</i> &copy; Paul Richards.,Dicranopalpus ramosus,,,,
resources/paul-richards/Dicranopalpus ramosus 3.jpg,100%,image-local,1,<i>Dicranopalpus ramosus</i> &copy; Paul Richards.,Dicranopalpus ramosus,,,,
resources/paul-richards/Dicranopalpus ramosus 4 female.jpg,100%,image-local,4,Female <i>Dicranopalpus ramosus</i> &copy; Paul Richards.,Dicranopalpus ramosus,,,,
resources/paul-richards/Dicranopalpus ramosus 5.jpg,100%,image-local,3,<i>Dicranopalpus ramosus</i> &copy; Paul Richards.,Dicranopalpus ramosus,,,,
resources/paul-richards/Dicranopalpus ramosus 6.jpg,100%,image-local,5,<i>Dicranopalpus ramosus</i> &copy; Paul Richards.,Dicranopalpus ramosus,,,,
resources/paul-richards/Dicranopalpus ramosus 7.jpg,100%,image-local,6,<i>Dicranopalpus ramosus</i> &copy; Paul Richards.,Dicranopalpus ramosus,,,,
resources/paul-richards/Dicranopalpus ramosus 8 female.jpg,100%,image-local,7,Female <i>Dicranopalpus ramosus</i> &copy; Paul Richards.,Dicranopalpus ramosus,,,,
resources/paul-richards/Dicranopalpus ramosus 9 female palps.jpg,100%,image-local,100,Palps of female <i>Dicranopalpus ramosus</i> &copy; Paul Richards.,Dicranopalpus ramosus,,,,
resources/wijnhoven/Dicranopalpus caudatus 1 female dorsal.jpg,100%,image-local,10,"Dorsal view of female <i>Dicranopalpus caudataus</i> from: Wijnhoven, H. and Prieto, C.E. (2015) Dicranopalpus caudatus Dresco, 1948: Not a synonym of Dicranopalpus Ramosus (Simon, 1909) but a valid species after all (Arachnida, Opiliones). Revista Iberica de Aracnologia, 26: 25-34",Dicranopalpus caudatus,,,,
resources/wijnhoven/Dicranopalpus caudatus 2 female lateral.jpg,100%,image-local,11,"Lateral view of female <i>Dicranopalpus caudataus</i> from: Wijnhoven, H. and Prieto, C.E. (2015) Dicranopalpus caudatus Dresco, 1948: Not a synonym of Dicranopalpus Ramosus (Simon, 1909) but a valid species after all (Arachnida, Opiliones). Revista Iberica de Aracnologia, 26: 25-34",Dicranopalpus caudatus,,,,
resources/wijnhoven/Dicranopalpus caudatus 3 male dorsal.jpg,100%,image-local,12,"Dorsal view of male <i>Dicranopalpus caudataus</i> from: Wijnhoven, H. and Prieto, C.E. (2015) Dicranopalpus caudatus Dresco, 1948: Not a synonym of Dicranopalpus Ramosus (Simon, 1909) but a valid species after all (Arachnida, Opiliones). Revista Iberica de Aracnologia, 26: 25-34",Dicranopalpus caudatus,,,,
resources/wijnhoven/Dicranopalpus caudatus 4 d ramosus comparison.jpg,100%,image-local,13,"Comparison of <i>Dicranopalpus caudataus</i> (right) and <i>D. ramosus</i> (left) from: Wijnhoven, H. and Prieto, C.E. (2015) Dicranopalpus caudatus Dresco, 1948: Not a synonym of Dicranopalpus Ramosus (Simon, 1909) but a valid species after all (Arachnida, Opiliones). Revista Iberica de Aracnologia, 26: 25-34",Dicranopalpus caudatus,,,,
resources/paul-richards/Dicranopalpus caudatus 1 male.jpg,100%,image-local,1,<i>Dicranopalpus caudatus</i> male &copy; Paul Richards.,Dicranopalpus caudatus,,,,
resources/paul-richards/Dicranopalpus caudatus 2 male.jpg,100%,image-local,2,<i>Dicranopalpus caudatus</i> male &copy; Paul Richards.,Dicranopalpus caudatus,,,,
resources/paul-richards/Dicranopalpus caudatus 3 male.jpg,100%,image-local,3,<i>Dicranopalpus caudatus</i> male &copy; Paul Richards.,Dicranopalpus caudatus,,,,
resources/paul-richards/Dicranopalpus caudatus 4 male.jpg,100%,image-local,4,<i>Dicranopalpus caudatus</i> male &copy; Paul Richards.,Dicranopalpus caudatus,,,,
resources/paul-richards/Dicranopalpus caudatus 5 penis.jpg,100%,image-local,102,<i>Dicranopalpus caudatus</i> penis &copy; Paul Richards.,Dicranopalpus caudatus,,,,
resources/paul-richards/Dicranopalpus caudatus 6 penis.jpg,100%,image-local,103,<i>Dicranopalpus caudatus</i> penis &copy; Paul Richards.,Dicranopalpus caudatus,,,,
resources/paul-richards/Dicranopalpus caudatus 7 penis.jpg,100%,image-local,101,<i>Dicranopalpus caudatus</i> penis &copy; Paul Richards.,Dicranopalpus caudatus,,,,
resources/paul-richards/Dicranopalpus caudatus 8 penis.jpg,100%,image-local,108,<i>Dicranopalpus caudatus</i> penis &copy; Paul Richards.,Dicranopalpus caudatus,,,,
resources/paul-richards/Homalenotus quadridentatus 1.jpg,100%,image-local,1,<i>Homalenotus quadridentatus</i> &copy; Paul Richards.,Homalenotus quadridentatus,,,,
resources/paul-richards/Homalenotus quadridentatus 2 fused teeth.jpg,100%,image-local,7,<i>Homalenotus quadridentatus</i> showing fused teeth at rear &copy; Paul Richards.,Homalenotus quadridentatus,,,,
resources/paul-richards/Homalenotus quadridentatus 3.jpg,100%,image-local,3,<i>Homalenotus quadridentatus</i> &copy; Paul Richards.,Homalenotus quadridentatus,,,,
resources/paul-richards/Homalenotus quadridentatus 4.jpg,100%,image-local,4,<i>Homalenotus quadridentatus</i> &copy; Paul Richards.,Homalenotus quadridentatus,,,,
resources/paul-richards/Homalenotus quadridentatus 5.jpg,100%,image-local,5,<i>Homalenotus quadridentatus</i> &copy; Paul Richards.,Homalenotus quadridentatus,,,,
resources/paul-richards/Homalenotus quadridentatus 6 male.jpg,100%,image-local,2,Male <i>Homalenotus quadridentatus</i> &copy; Paul Richards.,Homalenotus quadridentatus,,,,
resources/paul-richards/Homalenotus quadridentatus 7 sub-adult.jpg,100%,image-local,6,Sub-adult <i>Homalenotus quadridentatus</i> &copy; Paul Richards.,Homalenotus quadridentatus,,,,
resources/paul-richards/Anelasmocephalus cambridgei 1.jpg,100%,image-local,1.5,<i>Anelasmocephalus cambridgei</i> &copy; Paul Richards.,Anelasmocephalus cambridgei,,,,
resources/paul-richards/Anelasmocephalus cambridgei 10.jpg,100%,image-local,1,<i>Anelasmocephalus cambridgei</i> &copy; Paul Richards.,Anelasmocephalus cambridgei,,,,
resources/paul-richards/Anelasmocephalus cambridgei 11.jpg,100%,image-local,3,<i>Anelasmocephalus cambridgei</i> &copy; Paul Richards.,Anelasmocephalus cambridgei,,,,
resources/paul-richards/Anelasmocephalus cambridgei 12.jpg,100%,image-local,4,<i>Anelasmocephalus cambridgei</i> &copy; Paul Richards.,Anelasmocephalus cambridgei,,,,
resources/paul-richards/Anelasmocephalus cambridgei 13.jpg,100%,image-local,5,<i>Anelasmocephalus cambridgei</i> &copy; Paul Richards.,Anelasmocephalus cambridgei,,,,
resources/paul-richards/Anelasmocephalus cambridgei 2.jpg,100%,image-local,6,<i>Anelasmocephalus cambridgei</i> &copy; Paul Richards.,Anelasmocephalus cambridgei,,,,
resources/paul-richards/Anelasmocephalus cambridgei 3.jpg,100%,image-local,7,<i>Anelasmocephalus cambridgei</i> &copy; Paul Richards.,Anelasmocephalus cambridgei,,,,
resources/paul-richards/Anelasmocephalus cambridgei 4.jpg,100%,image-local,8,<i>Anelasmocephalus cambridgei</i> &copy; Paul Richards.,Anelasmocephalus cambridgei,,,,
resources/paul-richards/Anelasmocephalus cambridgei 5 immature.jpg,100%,image-local,101,Immature <i>Anelasmocephalus cambridgei</i> &copy; Paul Richards.,Anelasmocephalus cambridgei,,,,
resources/paul-richards/Anelasmocephalus cambridgei 6 immature.jpg,100%,image-local,102,Immature <i>Anelasmocephalus cambridgei</i> &copy; Paul Richards.,Anelasmocephalus cambridgei,,,,
resources/paul-richards/Anelasmocephalus cambridgei 7 immature.jpg,100%,image-local,103,Immature <i>Anelasmocephalus cambridgei</i> &copy; Paul Richards.,Anelasmocephalus cambridgei,,,,
resources/paul-richards/Anelasmocephalus cambridgei 8.jpg,100%,image-local,9,<i>Anelasmocephalus cambridgei</i> &copy; Paul Richards.,Anelasmocephalus cambridgei,,,,
resources/paul-richards/Anelasmocephalus cambridgei 9.jpg,100%,image-local,10,<i>Anelasmocephalus cambridgei</i> &copy; Paul Richards.,Anelasmocephalus cambridgei,,,,
resources/paul-richards/Anelasmocephalus cambridgei 14.jpg,100%,image-local,2,<i>Anelasmocephalus cambridgei</i> &copy; Paul Richards.,Anelasmocephalus cambridgei,,,,
resources/paul-richards/Anelasmocephalus cambridgei 15.jpg,100%,image-local,11,<i>Anelasmocephalus cambridgei</i> &copy; Paul Richards.,Anelasmocephalus cambridgei,,,,
resources/paul-richards/Anelasmocephalus cambridgei 16.jpg,100%,image-local,12,<i>Anelasmocephalus cambridgei</i> &copy; Paul Richards.,Anelasmocephalus cambridgei,,,,
resources/paul-richards/Anelasmocephalus cambridgei 17.jpg,100%,image-local,13,<i>Anelasmocephalus cambridgei</i> &copy; Paul Richards.,Anelasmocephalus cambridgei,,,,
resources/paul-richards/Anelasmocephalus cambridgei 18.jpg,100%,image-local,14,<i>Anelasmocephalus cambridgei</i> &copy; Paul Richards.,Anelasmocephalus cambridgei,,,,
resources/paul-richards/Leiobunum blackwalli 1 male.jpg,100%,image-local,1,Male <i>Leiobunum blackwalli</i> &copy; Paul Richards.,Leiobunum blackwalli,,,,
resources/paul-richards/Leiobunum blackwalli 2 male.jpg,100%,image-local,3,Male <i>Leiobunum blackwalli</i> &copy; Paul Richards.,Leiobunum blackwalli,,,,
resources/paul-richards/Leiobunum blackwalli 3 male.jpg,100%,image-local,5,Male <i>Leiobunum blackwalli</i> &copy; Paul Richards.,Leiobunum blackwalli,,,,
resources/paul-richards/Leiobunum blackwalli 4 male.jpg,100%,image-local,6,Male <i>Leiobunum blackwalli</i> &copy; Paul Richards.,Leiobunum blackwalli,,,,
resources/paul-richards/Leiobunum blackwalli 5 male.jpg,100%,image-local,7,Male <i>Leiobunum blackwalli</i> &copy; Paul Richards.,Leiobunum blackwalli,,,,
resources/paul-richards/Leiobunum blackwalli 6 female.jpg,100%,image-local,2,Female <i>Leiobunum blackwalli</i> &copy; Paul Richards.,Leiobunum blackwalli,,,,
resources/paul-richards/Leiobunum blackwalli 7 female.jpg,100%,image-local,4,Female <i>Leiobunum blackwalli</i> &copy; Paul Richards.,Leiobunum blackwalli,,,,
resources/paul-richards/Leiobunum blackwalli 8 male.jpg,100%,image-local,8,Male <i>Leiobunum blackwalli</i> &copy; Paul Richards.,Leiobunum blackwalli,,,,
,,,,,,,,,
#Species accounts,,,,,,,,,
resources/species-accounts/dicranopalpus-ramosus-description.html,,html-local,1,Species account,Dicranopalpus ramosus,,,,
resources/species-accounts/dicranopalpus-caudatus-description.html,,html-local,1,Species account,Dicranopalpus caudatus,,,,
resources/species-accounts/leiobunum-rotundum-description.html,,html-local,1,Species account,Leiobunum rotundum,,,,
resources/species-accounts/leiobunum-blackwalli-description.html,,html-local,1,Species account,Leiobunum blackwalli,,,,
resources/species-accounts/leiobunum-sp-a-description.html,,html-local,1,Species account,Leiobunum sp. A,,,,
resources/species-accounts/leiobunum-tisciae-description.html,,html-local,1,Species account,Leiobunum tisciae,,,,
resources/species-accounts/nelima-gothica-description.html,,html-local,1,Species account,Nelima gothica,,,,
resources/species-accounts/odiellus-spinosus-description.html,,html-local,1,Species account,Odiellus spinosus,,,,
resources/species-accounts/opilio-canestrinii-description.html,,html-local,1,Species account,Opilio canestrinii,,,,
resources/species-accounts/opilio-parietinus-description.html,,html-local,1,Species account,Opilio parietinus,,,,
resources/species-accounts/opilio-saxatilis-description.html,,html-local,1,Species account,Opilio saxatilis,,,,
resources/species-accounts/paroligolophus-agrestis-description.html,,html-local,1,Species account,Paroligolophus agrestis,,,,
resources/species-accounts/paroligolophus-meadii-description.html,,html-local,1,Species account,Paroligolophus meadii,,,,
resources/species-accounts/oligolophus-tridens-description.html,,html-local,1,Species account,Oligolophus tridens,,,,
resources/species-accounts/oligolophus-hanseni-description.html,,html-local,1,Species account,Oligolophus hanseni,,,,
resources/species-accounts/lacinius-ephippiatus-description.html,,html-local,1,Species account,Lacinius ephippiatus,,,,
resources/species-accounts/lophopilio-palpinalis-description.html,,html-local,1,Species account,Lophopilio palpinalis,,,,
resources/species-accounts/megabunus-diadema-description.html,,html-local,1,Species account,Megabunus diadema,,,,
resources/species-accounts/platybunus-triangularis-description.html,,html-local,1,Species account,Platybunus triangularis,,,,
resources/species-accounts/platybunus-pinetorum-description.html,,html-local,1,Species account,Platybunus pinetorum,,,,
resources/species-accounts/mitopus-morio-var-morio-description.html,,html-local,1,Species account,Mitopus morio var morio,,,,
resources/species-accounts/mitopus-morio-var-ericaeus-description.html,,html-local,1,Species account,Mitopus morio var ericaeus,,,,
resources/species-accounts/phalangium-opilio-description.html,,html-local,1,Species account,Phalangium opilio,,,,
resources/species-accounts/nemastoma-bimaculatum-description.html,,html-local,1,Species account,Nemastoma bimaculatum,,,,
resources/species-accounts/sabacon-viscayanum-ramblaianum-description.html,,html-local,1,Species account,Sabacon viscayanum ramblaianum,,,,
resources/species-accounts/mitostoma-chrysomelas-description.html,,html-local,1,Species account,Mitostoma chrysomelas,,,,
resources/species-accounts/nemastomella-bacillifera-description.html,,html-local,1,Species account,Nemastomella bacillifera,,,,
resources/species-accounts/homalenotus-quadridentatus-description.html,,html-local,1,Species account,Homalenotus quadridentatus,,,,
resources/species-accounts/trogulus-tricarinatus-description.html,,html-local,1,Species account,Trogulus tricarinatus,,,,
resources/species-accounts/anelasmocephalus-cambridgei-description.html,,html-local,1,Species account,Anelasmocephalus cambridgei,,,,
